Building,Construction Date
Heitman Staff Learning Center,1913-05-01
The Barn,1914-05-01
Silo Bike Barn,1916-05-01
Walker Hall,1927-05-01
Hart Hall,1928-05-01
Art Building Annex,1938-05-01
Hickey Gym,1938-05-01
Vet Med Large Animal Facility,1938-05-01
Shields Library,1940-05-01
Young Hall,1940-05-01
Haring Hall,1949-05-01
Hunt Hall,1949-05-01
TAPS C&E,1949-05-01
