Building,Construction Date
Cruess Hall,1952-05-01
Asmundson Hall,1954-05-01
Memorial Union,1955-05-01
Dairy Cattle Feed,1958-05-01
Dairy Cattle Shed,1958-05-01
Hoagland Hall,1959-01-01
Vet Med Lab Animal A Beach Lab,1959-02-01
Voorhies Hall,1959-05-01
Wickson Hall,1959-05-01
